ID,pixel,cm2,STATUS
0,9986.193324061196,1,BENCHMARK
1,1.0,0,PASS
2,49.0,0,PASS
3,50.5,0,PASS
4,157.0,0,PASS
5,145.0,0,PASS
6,11795.5,0,
7,11725.0,0,
8,9363.0,0,
9,12598.0,0,
10,25060.5,0,
11,461.0,0,PASS
12,14561.0,0,
13,19460.0,0,
14,25480.5,0,
15,30880.0,0,
16,48.5,0,PASS
17,11365.5,0,
18,9014.0,0,
19,14.0,0,PASS
20,13764.5,0,
21,11764.0,0,
22,13165.0,0,
23,24587.0,0,
24,12841.5,0,
25,20555.5,0,
26,24173.5,0,
27,25957.0,0,
28,291.0,0,PASS
29,0.0,0,PASS
30,78.0,0,PASS
31,125.0,0,PASS
32,1037.5,0,
33,321.0,0,PASS
34,19279.0,0,
35,18022.5,0,
36,24600.5,0,
37,14278.0,0,
38,20636.0,0,
39,17486.0,0,
40,18852.5,0,
41,28603.5,0,
42,23303.5,0,
43,6.0,0,PASS
44,23913.5,0,
45,1067.5,0,
46,192.0,0,PASS
47,284.5,0,PASS
48,1819.5,0,
49,92.5,0,PASS
50,6.0,0,PASS
51,75.5,0,PASS
52,312.5,0,PASS
53,43.0,0,PASS
54,16533.5,0,
55,11.5,0,PASS
56,15466.5,0,
57,80.5,0,PASS
58,21143.5,0,
59,24287.0,0,
60,16313.5,0,
61,20354.5,0,
62,25002.0,0,
63,19020.5,0,
64,98.0,0,PASS
65,27980.5,0,
65,finded,41,filtered
