ID,pixel,cm2,STATUS
0,10655.20554649266,1,BENCHMARK
1,0.5,0,PASS
2,12848.5,0,
3,12946.5,0,
4,9151.5,0,
5,349.0,0,PASS
6,15350.5,0,
7,13.0,0,PASS
8,251.5,0,PASS
9,182.0,0,PASS
10,11809.5,0,
11,14731.5,0,
12,12746.0,0,
13,15796.0,0,
14,9933.5,0,
15,14791.0,0,
16,14098.0,0,
17,13341.5,0,
18,13696.0,0,
19,0.0,0,PASS
20,9.5,0,PASS
21,12506.0,0,
22,2.0,0,PASS
23,114.0,0,PASS
24,9814.0,0,
25,11826.0,0,
26,12820.0,0,
27,11227.0,0,
28,8700.0,0,
29,8619.0,0,
30,13777.5,0,
31,17303.0,0,
32,1692.0,0,
33,10644.5,0,
34,12485.5,0,
35,8962.0,0,
36,18816.5,0,
37,11310.0,0,
38,9209.5,0,
39,9410.5,0,
40,15388.5,0,
41,13867.0,0,
42,46.5,0,PASS
43,1948.5,0,
44,123.5,0,PASS
45,15059.5,0,
46,13874.0,0,
47,1.0,0,PASS
48,579.0,0,
49,0.5,0,PASS
50,9510.5,0,
51,17283.0,0,
52,13537.5,0,
53,10561.0,0,
54,11556.0,0,
55,9886.5,0,
56,10091.0,0,
57,11955.0,0,
58,32.5,0,PASS
59,11719.5,0,
60,114.5,0,PASS
61,9473.5,0,
62,175.5,0,PASS
63,13033.0,0,
64,11682.5,0,
65,15951.0,0,
66,12729.0,0,
67,14198.5,0,
68,10461.0,0,
69,9474.5,0,
70,15299.0,0,
71,5.0,0,PASS
72,16.0,0,PASS
73,36.0,0,PASS
74,8.5,0,PASS
75,38.5,0,PASS
76,9.5,0,PASS
77,0.0,0,PASS
77,finded,54,filtered
