0.9441812,0.8977895,0.7567247,0.9210522,0.4736667
0.9588213,0.9375945,0.8742183,0.9278563,0.4967097
0.9777463,1.1381214,0.9105893,0.9322673,0.5139443
1.0051698,1.1533424,0.9187508,0.9470488,0.5157535
1.0972241,1.1766245,0.9478915,0.9817736,0.5197051
1.103223,1.1811808,0.9509041,0.9911587,0.520324
1.1466434,1.2615418,0.9721023,0.9989953,0.5258467
1.1682108,1.2859254,0.9729787,1.0302007,0.5329405
1.2024188,1.3183202,0.9988328,1.0536634,0.5474614
1.2038471,1.3258806,1.0243582,1.061453,0.5513178
1.2054896,1.378353,1.0285211,1.084728,0.5574594
1.2188443,1.4119494,1.0943066,1.0964124,0.5714566
1.2420542,1.5444824,1.1136971,1.0998849,0.5812165
1.3120412,1.5958533,1.1203798,1.10988,0.5855966
1.3264671,1.6336055,1.1305133,1.1219868,0.6062591
1.5231447,1.7510176,1.1394417,1.1717747,0.6162571
1.5879183,1.8047417,1.1493013,1.1736986,0.618828
1.706182,1.8878565,1.1571342,1.1946274,0.6337298
1.8127336,1.8906103,1.1614067,1.1962228,0.6346819
1.8450133,1.9046797,1.1735669,1.2031678,0.6419186
1.8589393,1.9486905,1.1782228,1.2058425,0.6425851
1.8730795,2.000512,1.1896161,1.2124121,0.6474413
1.9815593,2.0307037,1.2251107,1.2150399,0.6566299
2.1004657,2.058392,1.2361754,1.2304784,0.6576297
2.1071787,2.0664531,1.2389141,1.252111,0.6579154
2.1515276,2.3122424,1.2457611,1.2589152,0.6603435
2.1778084,2.3210546,1.2996055,1.282331,0.6678658
2.2667204,2.3649152,1.3279245,1.2853811,0.6794349
2.3851983,2.4206922,1.3429877,1.3014296,0.7007163
2.4054802,2.4320579,1.3618853,1.3020866,0.7028587
2.4725392,2.4620993,1.4036243,1.3160703,0.7270919
2.5905172,2.4634512,1.4776809,1.3231092,0.7300913
2.6134415,2.5515729,1.5996661,1.3710669,0.7416128
2.7566291,2.5992888,1.6616721,1.3825637,0.7422794
