ID,pixel,cm2,STATUS
0,10502.11055276382,1,BENCHMARK
1,310.5,0,PASS
2,6.5,0,PASS
3,168.5,0,PASS
4,6.0,0,PASS
5,120.5,0,PASS
6,5416.5,0,
7,4036.0,0,
8,5854.5,0,
9,5910.5,0,
10,5749.5,0,
11,7381.5,0,
12,6176.0,0,
13,5597.0,0,
14,5458.0,0,
15,6935.0,0,
16,7788.5,0,
17,7.0,0,PASS
18,7636.0,0,
19,6104.0,0,
20,6150.0,0,
21,5216.5,0,
22,5397.5,0,
23,6472.0,0,
24,6665.5,0,
25,5522.5,0,
26,6896.0,0,
27,6909.5,0,
28,6906.5,0,
29,7359.0,0,
30,6499.0,0,
31,4.0,0,PASS
32,2.0,0,PASS
33,2.0,0,PASS
34,2.0,0,PASS
35,7119.5,0,
36,4974.5,0,
37,6367.0,0,
38,7135.5,0,
39,6741.5,0,
40,6799.5,0,
41,7667.5,0,
42,7014.0,0,
43,8560.5,0,
44,7795.5,0,
45,6748.5,0,
46,5464.5,0,
47,6655.5,0,
48,1.5,0,PASS
49,49.0,0,PASS
50,132.5,0,PASS
50,finded,37,filtered
